NOVANAID	XUTM	YUTM	MIDTK_FNL	MEANPEJ	MAXDATO	BERELAG
190.219_1	656336.999998965	6188052.9999998	2.40000009537	3.3	01-01-2007	1
190.221_1	656382.999998963	6187993.9999998	0.5	3	01-01-2007	2
190.222_1	656352.999998964	6188065.9999998	2.20000004768	3.2	01-01-2007	1
190.226_1	656458.999998959	6187893.9999998	-0.8	-0.5	01-01-2007	1
190.227_1	656486.999998958	6187899.9999998	0.5	0.6	01-01-2007	1
190.233_1	656485.999998958	6187932.9999998	0.80000001192	1.2	01-01-2007	1
190.250_1	656468.999998959	6187843.9999998	1.08000004292	1.5	01-01-2007	1
190.264_1	656876.999998938	6187894.9999998	7.30000019073	9.3	01-01-2007	2
190.266_1	656835.99999894	6187954.9999998	8	10	01-01-2007	1
193.1548_1	714282.999988326	6194354.9999995	45.6	45.5	01-01-2007	2
193.1925_2	717675.899986948	6188738.56999946	25.02	25.27	01-01-2007	2
