OBS_ID	X	Y	Z	LAYER	ME	ME^2
186.721_1	689390	6209952	12.6904535293579	1	3.91	15.2881	
186.752_1	688060	6207499	0.645351201295853	1	0.443418659512997	0.196620107604303	
187.1280_1	705647	6218205	5.05571341514587	1	-2.92259525477409	8.54156302322804	
188.933_1	723717	6214890	29.7835311889648	1	27.1	734.41	
194.771_1	721279	6191684	10.2711591720581	1	-6.79214752895355	46.1332680550699	
194.802_1	721255	6191056.73	13.8570375442505	1	0.0388498375218269	0.00150930987547235	
194.808_1	721257.26	6191057.02	13.8570375442505	1	-1.37197052994133	1.8823031350275	
197.492_1	646837	6172949	13.2618136405945	1	-5.26481571011606	27.7182844614849	
197.493_1	647050	6172885	21.029974937439	1	-5.76337945706377	33.2165427661047	
197.494_1	647196	6172752	21.029974937439	1	-7.36372140773362	54.2243929707144	
201.4277_1	725691	6178425	0.838221669197083	1	-1.60445210447311	2.5742665555482	
201.4374_3	720969.88	6181523.1	19.8639631271362	1	-4.9709346413327	24.7101912084015	
205.348_1	675833	6163717	36.4401264190674	1	-4.17419657484436	17.4239170454424	
205.561_1	663342	6157867	25.8210296630859	1	-4.5475030413208	20.6797839108219	
205.646_1	674589	6166881	44.0575542449951	1	0.439071808578497	0.192784053088392	
216.701_1	671594	6136271	15.0273990631104	1	0.785103786285401	0.616387955239672	
216.702_1	671619	6136297	15.0273990631104	1	-0.187935286087036	0.0353196717566162	
221.1098_1	679023.3	6118143.15	6.79305577278137	1	-2.5062669573063	6.28137406128538	
221.1099_1	679048.29	6118143.63	6.79305577278137	1	-2.251477381499	5.06915039940159	
225.186_1	676867	6108074	-1.73507976531982	1	-1.44484855947498	2.08758735981693	
186.408_1	685834	6207498	4.85823154449463	1	0.177773598724365	0.0316034524034117	
186.815_1	685454	6207470	5.24816584587097	1	-0.833554087219238	0.694812416319898	
186.817_1	685202	6207682	6.3632709980011	1	-1.65090309777832	2.72548103825405	
186.820_1	684912	6207279	8.52404999732971	1	-1.64004558467102	2.68974951979891	
186.844_1	691338.3	6214373.12	11.9051547050476	1	-1.6210633164535	2.62784627595123	
186.848_1	691435.6	6214361.9	11.9051547050476	1	1.62793907936891	2.65018564613649	
186.861_3	685232	6207414	5.24816584587097	1	-2.51332951678467	6.31682525994105	
186.862_1	685313	6207466	5.24816584587097	1	-2.01031694650269	4.04137422539588	
186.862_2	685313	6207466	5.24816584587097	1	-1.91031694650269	3.64931083609535	
186.863_2	685276	6207514	6.3632709980011	1	-3.74089748760986	13.9943140128058	
186.864_3	685158	6207562	6.3632709980011	1	-3.0860716739502	9.52383837675776	
187.1409_1	705094	6217716	19.1066999435425	1	3.69298512835693	13.6381391582655	
187.1429_1	706745	6204623	43.7277297973633	1	41.8	1747.24	
187.1431_1	706767	6204626	43.7277297973633	1	42.3	1789.29	
188.1042_1	724879	6215868	5.73940920829773	1	-2.24425474204278	5.03667934718151	
188.1043_1	724949	6215943	5.73940920829773	1	-0.922699316082903	0.851374027899857	
188.1044_1	724746	6215836	5.73940920829773	1	-1.91762781143188	3.67729642317704	
188.1046_1	724823	6215811	5.73940920829773	1	-2.94433814437824	8.66912710844069	
188.1048_1	724882	6215941	5.73940920829773	1	-1.98628731343372	3.94533729150775	
188.1051_1	725077	6215721	-4.55856895446777	1	1.05089892324448	1.1043885468764	
188.1053_1	724954	6215847	5.73940920829773	1	-0.331345936069091	0.109790129349502	
188.1055_1	724788	6216012	6.81185054779053	1	1.1	1.21	
188.1074_1	722456	6214388	44.6401176452637	1	48.1	2313.61	
188.1090_1	722678	6214292	42.0337810516357	1	43.8	1918.44	
188.1091_1	722688	6214279	42.0337810516357	1	43.9	1927.21	
188.1092_1	722697	6214289	42.0337810516357	1	43.6	1900.96	
190.79_1	650658	6188525	35.560133934021	1	34.4	1183.36	
193.2012_1	710705.15	6199066.11	48.8425998687744	1	-12.7929808309511	163.660358541083	
193.2097_1	706613.7	6192881	43.8473625183105	1	-6.57767490296109	43.2658071290441	
193.2116_1	707427.7	6196921	35.1852359771729	1	1.45411427931213	2.11444833729943	
193.2117_1	707135.7	6196766.4	35.1852359771729	1	1.26073879118051	1.58946229958729	
194.750_1	721015.47	6191634.13	10.2711591720581	1	-2.76032066353859	7.61937016555812	
194.752_1	721543.06	6191373.07	17.43053150177	1	-1.64873166010766	2.71831608704137	
194.753_1	721327.55	6191426.5	13.8570375442505	1	-1.4531609308925	2.11167669107236	
194.904_3	720038.87	6191737.61	13.4960941076279	1	1.52924560688678	2.33859212618252	
194.906_1	721381.81	6191783.86	10.2711591720581	1	-2.36013446943924	5.57023471383526	
194.908_1	721130.33	6191078.2	13.8570375442505	1	-0.781215516859525	0.610297683782095	
194.909_1	721130.74	6191064.27	13.8570375442505	1	-0.805967531498249	0.649583661829381	
194.910_1	721230	6191042	13.8570375442505	1	-0.99652468017578	0.99306143819944	
194.911_1	721245.66	6191030.7	13.8570375442505	1	-1.28380389337694	1.6481524366498	
194.912_1	721150.65	6191086.71	13.8570375442505	1	-0.962127205145098	0.925688758880317	
194.913_1	721126.48	6191081.78	13.8570375442505	1	-0.756032151535527	0.571584614155437	
194.915_2	720593.46	6192014.12	21.0995941162109	1	26.215	687.226225	
194.916_1	719200.02	6191737.54	21.7890062332153	1	5.52305312089759	30.5041157762566	
194.916_2	719200.02	6191737.54	21.7890062332153	1	5.55805312089759	30.8919544947194	
194.918_1	719304.25	6192279.51	35.167875289917	1	38.245	1462.680025	
194.919_1	719249.37	6192254.96	35.167875289917	1	33.715	1136.701225	
194.920_1	719155.84	6192070.27	35.167875289917	1	41.12	1690.8544	
194.924_1	718714	6191197.79	18.7696061134338	1	6.42507325967979	41.2815663922523	
194.925_1	718523	6191206	18.7696061134338	1	3.12191149894753	9.74633140726081	
194.932_1	721428.71	6191263.63	13.8570375442505	1	-1.26202499987978	1.59270710032156	
194.947_1	720926.9	6191297.6	11.9185228943825	1	-1.25276194716717	1.56941249627009	
194.948_1	721002.37	6191383.25	13.8570375442505	1	-1.2354890080691	1.52643308905956	
194.949_1	721073.54	6191376.64	13.8570375442505	1	-1.20589422831635	1.45418088988669	
194.950_1	721119.13	6191469.43	13.8570375442505	1	-1.24402227588881	1.54759142290758	
194.951_1	720893.92	6191453.59	11.9185228943825	1	-1.4045652191447	1.97280345483099	
194.952_1	721060.99	6191508.6	10.2711591720581	1	-1.53373880649827	2.35235472655874	
194.953_1	721130.46	6191555.78	10.2711591720581	1	-1.51461001351861	2.29404349305083	
194.954_1	721053.38	6191592.24	10.2711591720581	1	-2.73919324215824	7.50317961788536	
194.955_1	720955.6	6191574.16	10.3445081710815	1	-2.50366838804202	6.26835539728095	
194.968_2	718580.46	6191384.19	18.7696061134338	1	5.62923823389319	31.6883230939249	
194.970_1	718595.38	6191315.04	18.7696061134338	1	6.56952320965017	43.1586352021323	
197.339_1	643566	6172598	-0.548994541168213	1	-0.525998715499878	0.276674648707522	
197.448_1	646737	6173121	19.8742346763611	1	-8.52585393869018	72.6901853838789	
198.381_1	666002	6179783	7.66213297843933	1	0.760543763336182	0.578426815949562	
198.664_2	662778.57	6173913.75	4.96182918548584	1	0.572815640047267	0.32811775748276	
198.675_1	664629	6172817	13.3500242233276	1	-0.396581827732087	0.157277146087323	
